xrsa_flux,xrsb_flux,status,flare_class
9.2354595e-09,1.4320945e-07,EVENT_PEAK,B1.4
3.2595022e-09,8.926145e-08,EVENT_END,nan
1.985263e-09,4.96611e-08,POST_EVENT,nan
4.0667762e-09,5.1081653e-08,EVENT_START,nan
6.3990946e-09,1.0930998e-07,EVENT_PEAK,B1.0
6.8458004e-09,7.662304e-08,EVENT_END,nan
4.826401e-09,5.0843475e-08,POST_EVENT,nan
4.9021285e-09,6.160619e-08,EVENT_START,nan
7.3476065e-09,1.5428573e-07,EVENT_PEAK,B1.5
6.962939e-09,1.5310606e-07,EVENT_START,nan
7.745523e-09,1.716897e-07,EVENT_PEAK,B1.7
7.0649038e-09,1.6155997e-07,EVENT_END,nan
5.7923604e-09,1.506858e-07,POST_EVENT,nan
6.119334e-09,5.6128822e-08,EVENT_START,nan
9.471802e-09,1.7049199e-07,EVENT_PEAK,B1.7
5.7715734e-09,1.09464864e-07,EVENT_END,nan
2.8504112e-09,5.735257e-08,POST_EVENT,nan
1e-09,4.9320587e-08,EVENT_START,nan
4.250095e-09,1.03504995e-07,EVENT_PEAK,B1.0
2.0232644e-09,5.587837e-08,EVENT_END,nan
1e-09,6.79902e-08,EVENT_START,nan
2.2038908e-09,1.07406414e-07,EVENT_PEAK,B1.0
1e-09,8.08296e-08,EVENT_END,nan
1.5515991e-09,6.9714105e-08,EVENT_START,nan
2.662871e-09,1.14545614e-07,EVENT_PEAK,B1.1
1.5907785e-09,8.6627125e-08,EVENT_END,nan
1e-09,8.362066e-08,EVENT_START,nan
3.617483e-09,1.3841536e-07,EVENT_PEAK,B1.3
1e-09,9.56584e-08,EVENT_END,nan
1.6225511e-09,8.1585824e-08,POST_EVENT,nan
1e-09,1.1712736e-07,EVENT_START,nan
1e-09,1.9557955e-07,EVENT_PEAK,B1.9
1e-09,1.8655204e-07,EVENT_START,nan
1e-09,2.1722384e-07,EVENT_PEAK,B2.1
1e-09,2.0317515e-07,EVENT_START,nan
1e-09,2.7817114e-07,EVENT_PEAK,B2.7
1e-09,2.3880293e-07,EVENT_END,nan
1e-09,1.7963168e-07,EVENT_START,nan
1.0784451e-08,4.359059e-07,EVENT_PEAK,B4.3
1e-09,2.8397363e-07,EVENT_END,nan
1e-09,1.7905796e-07,POST_EVENT,nan
1e-09,1.0425092e-07,EVENT_START,nan
1e-09,1.7309985e-07,EVENT_PEAK,B1.7
1e-09,1.2562394e-07,EVENT_END,nan
